filters,kernel_size,strides,pool_size,GRU_units,dropout1,dropout2,Avg_mape
16,2,1,1,32,0.05,0.05,2.064375312708103
16,2,2,1,32,0.05,0.05,2.0977468463813724
16,2,1,2,32,0.05,0.05,2.491083328101323
16,2,2,2,32,0.05,0.05,3.039368641693357
16,3,1,1,32,0.05,0.05,2.065437037657652
16,3,2,1,32,0.05,0.05,2.5507744069270295
16,3,1,2,32,0.05,0.05,2.3075285931988234
16,3,2,2,32,0.05,0.05,2.6913345868740115
32,2,1,1,32,0.05,0.05,2.0271756649637824
32,2,2,1,32,0.05,0.05,2.0391933616764617
32,2,1,2,32,0.05,0.05,2.5715906566206943
32,2,2,2,32,0.05,0.05,3.052368519147793
32,3,1,1,32,0.05,0.05,1.978347902883921
32,3,2,1,32,0.05,0.05,2.389468818864918
32,3,1,2,32,0.05,0.05,2.1346718173464594
32,3,2,2,32,0.05,0.05,2.477847154639819
64,2,1,1,32,0.05,0.05,1.769132332756494
64,2,2,1,32,0.05,0.05,2.0331916203015785
64,2,1,2,32,0.05,0.05,2.480229035232036
64,2,2,2,32,0.05,0.05,2.943177165553465
64,3,1,1,32,0.05,0.05,1.8089786141174873
64,3,2,1,32,0.05,0.05,2.3966964929660803
64,3,1,2,32,0.05,0.05,2.0441818036983803
64,3,2,2,32,0.05,0.05,2.559785509800838
16,2,1,1,32,0.1,0.05,2.197866904841503
16,2,2,1,32,0.1,0.05,2.2033933725314587
16,2,1,2,32,0.1,0.05,2.766179635203534
16,2,2,2,32,0.1,0.05,3.2523180221396912
16,3,1,1,32,0.1,0.05,2.1507274732564174
16,3,2,1,32,0.1,0.05,2.693114545021133
16,3,1,2,32,0.1,0.05,2.6027985446841555
16,3,2,2,32,0.1,0.05,2.8182871648857604
32,2,1,1,32,0.1,0.05,1.9815923930888737
32,2,2,1,32,0.1,0.05,2.164495237210872
32,2,1,2,32,0.1,0.05,2.5617955334832305
32,2,2,2,32,0.1,0.05,2.91622363009022
32,3,1,1,32,0.1,0.05,2.0157262955571933
32,3,2,1,32,0.1,0.05,2.4152481083203576
32,3,1,2,32,0.1,0.05,2.294737835667974
32,3,2,2,32,0.1,0.05,2.6959742534134783
64,2,1,1,32,0.1,0.05,1.9616784314251292
64,2,2,1,32,0.1,0.05,1.9696873833098254
64,2,1,2,32,0.1,0.05,2.5472422171290585
64,2,2,2,32,0.1,0.05,2.951729804668329
64,3,1,1,32,0.1,0.05,1.9660788340427597
64,3,2,1,32,0.1,0.05,2.318251977376286
64,3,1,2,32,0.1,0.05,2.1842277655908213
64,3,2,2,32,0.1,0.05,2.6529568036660796
16,2,1,1,32,0.15,0.05,2.3594661597520337
16,2,2,1,32,0.15,0.05,2.545955066052796
16,2,1,2,32,0.15,0.05,2.949802646591556
16,2,2,2,32,0.15,0.05,3.3725101590613384
16,3,1,1,32,0.15,0.05,2.459848759943451
16,3,2,1,32,0.15,0.05,3.19375114255736
16,3,1,2,32,0.15,0.05,2.538646148331394
16,3,2,2,32,0.15,0.05,3.013588706740716
32,2,1,1,32,0.15,0.05,2.0611519020096236
32,2,2,1,32,0.15,0.05,2.1748994804638446
32,2,1,2,32,0.15,0.05,2.6326593385986334
32,2,2,2,32,0.15,0.05,3.103307640531314
32,3,1,1,32,0.15,0.05,2.1112009271188463
32,3,2,1,32,0.15,0.05,2.6676095034391007
32,3,1,2,32,0.15,0.05,2.2805427231943494
32,3,2,2,32,0.15,0.05,2.794984500389839
64,2,1,1,32,0.15,0.05,1.9058152840160887
64,2,2,1,32,0.15,0.05,2.042292897566142
64,2,1,2,32,0.15,0.05,2.602887035308646
64,2,2,2,32,0.15,0.05,2.9816139181851296
64,3,1,1,32,0.15,0.05,1.936139523099355
64,3,2,1,32,0.15,0.05,2.3981532028610997
64,3,1,2,32,0.15,0.05,2.19578426294231
64,3,2,2,32,0.15,0.05,2.6370111925513924
16,2,1,1,32,0.2,0.05,2.5032334926828406
16,2,2,1,32,0.2,0.05,2.7825243074890946
16,2,1,2,32,0.2,0.05,2.9034562070710117
16,2,2,2,32,0.2,0.05,3.2810189523374027
16,3,1,1,32,0.2,0.05,2.4754521747512115
16,3,2,1,32,0.2,0.05,2.8691435967381267
16,3,1,2,32,0.2,0.05,2.8870655793804416
16,3,2,2,32,0.2,0.05,3.144251080832461
32,2,1,1,32,0.2,0.05,2.1280190465989697
32,2,2,1,32,0.2,0.05,2.2101076074674584
32,2,1,2,32,0.2,0.05,2.782298715723489
32,2,2,2,32,0.2,0.05,3.2847569834274886
32,3,1,1,32,0.2,0.05,2.240689862880242
32,3,2,1,32,0.2,0.05,2.6519781530141135
32,3,1,2,32,0.2,0.05,2.4204989346192214
32,3,2,2,32,0.2,0.05,3.0515630533744287
64,2,1,1,32,0.2,0.05,1.9761652441212185
64,2,2,1,32,0.2,0.05,2.149396530438818
64,2,1,2,32,0.2,0.05,2.60872535566446
64,2,2,2,32,0.2,0.05,3.0014645618559235
64,3,1,1,32,0.2,0.05,1.9738672129917567
64,3,2,1,32,0.2,0.05,2.436373217488009
64,3,1,2,32,0.2,0.05,2.305996753517905
64,3,2,2,32,0.2,0.05,2.7170723366190352
16,2,1,1,64,0.05,0.05,2.005089690538897
16,2,2,1,64,0.05,0.05,2.176982734047072
16,2,1,2,64,0.05,0.05,2.590013976980764
16,2,2,2,64,0.05,0.05,3.00977855170985
16,3,1,1,64,0.05,0.05,1.9682611737664235
16,3,2,1,64,0.05,0.05,2.441064546783549
16,3,1,2,64,0.05,0.05,2.2641585262418302
16,3,2,2,64,0.05,0.05,2.627026683259952
32,2,1,1,64,0.05,0.05,1.9286031288941867
32,2,2,1,64,0.05,0.05,1.9586510388661151
32,2,1,2,64,0.05,0.05,2.4994376509990057
32,2,2,2,64,0.05,0.05,2.8940929169936993
32,3,1,1,64,0.05,0.05,1.9312276294126078
32,3,2,1,64,0.05,0.05,2.3175908090571293
32,3,1,2,64,0.05,0.05,2.0021156167690193
32,3,2,2,64,0.05,0.05,2.568919410325194
64,2,1,1,64,0.05,0.05,1.7791440764394058
64,2,2,1,64,0.05,0.05,1.9294518792943938
64,2,1,2,64,0.05,0.05,2.497014102601283
64,2,2,2,64,0.05,0.05,2.9625478950325075
64,3,1,1,64,0.05,0.05,1.794373078178161
64,3,2,1,64,0.05,0.05,2.288313212145272
64,3,1,2,64,0.05,0.05,2.093999774243024
64,3,2,2,64,0.05,0.05,2.5356777609586896
16,2,1,1,64,0.1,0.05,2.056108740398054
16,2,2,1,64,0.1,0.05,2.245398980457652
16,2,1,2,64,0.1,0.05,2.7667268203666695
16,2,2,2,64,0.1,0.05,3.139258320536193
16,3,1,1,64,0.1,0.05,2.207499712514464
16,3,2,1,64,0.1,0.05,2.70007116456634
16,3,1,2,64,0.1,0.05,2.4178847352442694
16,3,2,2,64,0.1,0.05,2.8857780282244736
32,2,1,1,64,0.1,0.05,1.9541773216032448
32,2,2,1,64,0.1,0.05,2.0576727031391573
32,2,1,2,64,0.1,0.05,2.5053546448545045
32,2,2,2,64,0.1,0.05,3.0128690214977625
32,3,1,1,64,0.1,0.05,1.9454730502939468
32,3,2,1,64,0.1,0.05,2.4839612948485166
32,3,1,2,64,0.1,0.05,2.1511562439447434
32,3,2,2,64,0.1,0.05,2.696906923221455
64,2,1,1,64,0.1,0.05,1.813044433211666
64,2,2,1,64,0.1,0.05,2.1337704464023233
64,2,1,2,64,0.1,0.05,2.5301609252413817
64,2,2,2,64,0.1,0.05,3.0295915937031155
64,3,1,1,64,0.1,0.05,1.881400400925994
64,3,2,1,64,0.1,0.05,2.3185588844627634
64,3,1,2,64,0.1,0.05,2.122365902162926
64,3,2,2,64,0.1,0.05,2.5703386867412
16,2,1,1,64,0.15,0.05,2.3837486560693972
16,2,2,1,64,0.15,0.05,2.5204309070396644
16,2,1,2,64,0.15,0.05,2.8109058182980715
16,2,2,2,64,0.15,0.05,3.4025473283292063
16,3,1,1,64,0.15,0.05,2.3312022715831557
16,3,2,1,64,0.15,0.05,2.656876440506436
16,3,1,2,64,0.15,0.05,2.678120774628878
16,3,2,2,64,0.15,0.05,2.9852746371441774
32,2,1,1,64,0.15,0.05,1.9055185184999213
32,2,2,1,64,0.15,0.05,2.054399828112995
32,2,1,2,64,0.15,0.05,2.53705672787602
32,2,2,2,64,0.15,0.05,3.0817844566605324
32,3,1,1,64,0.15,0.05,1.9838856273371348
32,3,2,1,64,0.15,0.05,2.5917525368410423
32,3,1,2,64,0.15,0.05,2.362019008416976
32,3,2,2,64,0.15,0.05,2.7074814925836077
64,2,1,1,64,0.15,0.05,1.9082109052740996
64,2,2,1,64,0.15,0.05,2.1497257996226264
64,2,1,2,64,0.15,0.05,2.6690755869703424
64,2,2,2,64,0.15,0.05,2.91541350054956
64,3,1,1,64,0.15,0.05,1.9687383146510176
64,3,2,1,64,0.15,0.05,2.4030985029642826
64,3,1,2,64,0.15,0.05,2.1005924422980606
64,3,2,2,64,0.15,0.05,2.635989331187248
16,2,1,1,64,0.2,0.05,2.355322284315796
16,2,2,1,64,0.2,0.05,2.3079083623489076
16,2,1,2,64,0.2,0.05,2.9906341534615386
16,2,2,2,64,0.2,0.05,3.394318843532553
16,3,1,1,64,0.2,0.05,2.459232047533975
16,3,2,1,64,0.2,0.05,2.954338784746094
16,3,1,2,64,0.2,0.05,2.673248274893466
16,3,2,2,64,0.2,0.05,3.1729936853641725
32,2,1,1,64,0.2,0.05,2.130528838656907
32,2,2,1,64,0.2,0.05,2.1396159024912476
32,2,1,2,64,0.2,0.05,2.6848699158416065
32,2,2,2,64,0.2,0.05,3.156897257227952
32,3,1,1,64,0.2,0.05,2.1939465032094367
32,3,2,1,64,0.2,0.05,2.619129709880817
32,3,1,2,64,0.2,0.05,2.443007997707097
32,3,2,2,64,0.2,0.05,2.8906546365170924
64,2,1,1,64,0.2,0.05,1.886854004158481
64,2,2,1,64,0.2,0.05,2.024876043758921
64,2,1,2,64,0.2,0.05,2.615028763063634
64,2,2,2,64,0.2,0.05,2.955772858497827
64,3,1,1,64,0.2,0.05,2.1617823955834816
64,3,2,1,64,0.2,0.05,2.382318274088629
64,3,1,2,64,0.2,0.05,2.272682681860727
64,3,2,2,64,0.2,0.05,2.706971882392368
16,2,1,1,128,0.05,0.05,1.9705511241459375
16,2,2,1,128,0.05,0.05,2.112174322584483
16,2,1,2,128,0.05,0.05,2.647048507810442
16,2,2,2,128,0.05,0.05,2.9502278063074523
16,3,1,1,128,0.05,0.05,2.017493940547252
16,3,2,1,128,0.05,0.05,2.466624425965762
16,3,1,2,128,0.05,0.05,2.2881272034427833
16,3,2,2,128,0.05,0.05,2.6200015663373946
32,2,1,1,128,0.05,0.05,1.7810228873358922
32,2,2,1,128,0.05,0.05,2.05962511332636
32,2,1,2,128,0.05,0.05,2.4463831876103104
32,2,2,2,128,0.05,0.05,2.932653127446406
32,3,1,1,128,0.05,0.05,1.9321796108473566
32,3,2,1,128,0.05,0.05,2.320737788849282
32,3,1,2,128,0.05,0.05,2.1269568231196807
32,3,2,2,128,0.05,0.05,2.6180809639993767
64,2,1,1,128,0.05,0.05,1.7470886578911147
64,2,2,1,128,0.05,0.05,1.7716358008895596
64,2,1,2,128,0.05,0.05,2.441159851699682
64,2,2,2,128,0.05,0.05,2.9268721369076935
64,3,1,1,128,0.05,0.05,1.8093694151520792
64,3,2,1,128,0.05,0.05,2.2748873633513806
64,3,1,2,128,0.05,0.05,1.9021711716601464
64,3,2,2,128,0.05,0.05,2.342495338754812
16,2,1,1,128,0.1,0.05,2.1627746747656853
16,2,2,1,128,0.1,0.05,2.669701763776547
16,2,1,2,128,0.1,0.05,2.9362483937700854
16,2,2,2,128,0.1,0.05,3.037271181978788
16,3,1,1,128,0.1,0.05,2.194032032229522
16,3,2,1,128,0.1,0.05,2.5817368523558426
16,3,1,2,128,0.1,0.05,2.4659792181200966
16,3,2,2,128,0.1,0.05,2.824530258885099
32,2,1,1,128,0.1,0.05,1.9684866501989442
32,2,2,1,128,0.1,0.05,2.0871290794357003
32,2,1,2,128,0.1,0.05,2.5689652553737865
32,2,2,2,128,0.1,0.05,2.940380724396747
32,3,1,1,128,0.1,0.05,1.8905220806000524
32,3,2,1,128,0.1,0.05,2.322186071874811
32,3,1,2,128,0.1,0.05,2.137459779084234
32,3,2,2,128,0.1,0.05,2.6389284745466135
64,2,1,1,128,0.1,0.05,1.8017723551137186
64,2,2,1,128,0.1,0.05,1.8372233395945974
64,2,1,2,128,0.1,0.05,2.4955804435665896
64,2,2,2,128,0.1,0.05,2.905251884327841
64,3,1,1,128,0.1,0.05,1.8951309274467967
64,3,2,1,128,0.1,0.05,2.379964253576841
64,3,1,2,128,0.1,0.05,1.9539750665962117
64,3,2,2,128,0.1,0.05,2.487650325887114
16,2,1,1,128,0.15,0.05,2.3177250151410163
16,2,2,1,128,0.15,0.05,2.217145377720157
16,2,1,2,128,0.15,0.05,2.817324336754121
16,2,2,2,128,0.15,0.05,3.2462082624065283
16,3,1,1,128,0.15,0.05,2.4657720658407465
16,3,2,1,128,0.15,0.05,2.9736776006074073
16,3,1,2,128,0.15,0.05,2.684661320316533
16,3,2,2,128,0.15,0.05,2.9848467197186532
32,2,1,1,128,0.15,0.05,1.9885083892043802
32,2,2,1,128,0.15,0.05,2.2400025506854004
32,2,1,2,128,0.15,0.05,2.606118094343909
32,2,2,2,128,0.15,0.05,3.0654577748297442
32,3,1,1,128,0.15,0.05,1.9436655117383481
32,3,2,1,128,0.15,0.05,2.4420061486391345
32,3,1,2,128,0.15,0.05,2.2293232112303256
32,3,2,2,128,0.15,0.05,2.777644046731163
64,2,1,1,128,0.15,0.05,1.9072306827722656
64,2,2,1,128,0.15,0.05,1.9733241494952045
64,2,1,2,128,0.15,0.05,2.4945540381802744
64,2,2,2,128,0.15,0.05,2.9081613650621048
64,3,1,1,128,0.15,0.05,1.8732573223797806
64,3,2,1,128,0.15,0.05,2.406813819980552
64,3,1,2,128,0.15,0.05,2.095588762561484
64,3,2,2,128,0.15,0.05,2.5779721850028423
16,2,1,1,128,0.2,0.05,2.1336291046938567
16,2,2,1,128,0.2,0.05,2.4432226310048546
16,2,1,2,128,0.2,0.05,3.0941697991654014
16,2,2,2,128,0.2,0.05,3.5710095647392066
16,3,1,1,128,0.2,0.05,2.6853915604210705
16,3,2,1,128,0.2,0.05,3.036603506017084
16,3,1,2,128,0.2,0.05,2.6465908134900302
16,3,2,2,128,0.2,0.05,3.315783294280264
32,2,1,1,128,0.2,0.05,2.1114770821983373
32,2,2,1,128,0.2,0.05,2.17541629975933
32,2,1,2,128,0.2,0.05,2.694426340275156
32,2,2,2,128,0.2,0.05,3.1188980943692797
32,3,1,1,128,0.2,0.05,2.2811912211952365
32,3,2,1,128,0.2,0.05,2.657051807695502
32,3,1,2,128,0.2,0.05,2.3342976857349913
32,3,2,2,128,0.2,0.05,2.8667672189320306
64,2,1,1,128,0.2,0.05,1.873972601823068
64,2,2,1,128,0.2,0.05,1.991203643913814
64,2,1,2,128,0.2,0.05,2.593458302332662
64,2,2,2,128,0.2,0.05,2.9075582132972504
64,3,1,1,128,0.2,0.05,1.8483165508371304
64,3,2,1,128,0.2,0.05,2.443482429927846
64,3,1,2,128,0.2,0.05,2.221407427305142
64,3,2,2,128,0.2,0.05,2.5385117135613053
